volume_tests,company_id,company_type,time,date,month,year,day,is_weekend,season,avg_pesq_score,quality_too_poor,number_busy,temporarily_unable_test,outage_hrs,number_test_types,numbers_tested,followup_tests,min_commit
204,93,Enterprise,2017-09-21,21,9,2017,Thurs,0,Autumn,3.752206,0,0,0,0,1,10,0,nan
243,93,Enterprise,2017-09-22,22,9,2017,Fri,0,Autumn,3.778148,0,0,0,0,1,10,0,nan
20,93,Enterprise,2017-09-23,23,9,2017,Sat,1,Autumn,3.7885,0,0,0,0,1,4,0,nan
6,93,Enterprise,2017-09-24,24,9,2017,Sun,1,Autumn,4.333333,0,0,0,0,1,1,0,nan
230,93,Enterprise,2017-09-25,25,9,2017,Mon,0,Autumn,3.784522,0,0,0,0,1,10,0,nan
250,93,Enterprise,2017-09-26,26,9,2017,Tues,0,Autumn,3.7756,0,0,0,0,1,10,0,nan
250,93,Enterprise,2017-09-27,27,9,2017,Wed,0,Autumn,3.761044,0,0,0,0,1,10,0,nan
250,93,Enterprise,2017-09-28,28,9,2017,Thurs,0,Autumn,3.77164,0,0,0,0,1,10,0,nan
244,93,Enterprise,2017-09-29,29,9,2017,Fri,0,Autumn,3.746967,0,0,0,0,1,10,0,nan
20,93,Enterprise,2017-09-30,30,9,2017,Sat,1,Autumn,3.693,0,0,0,0,1,4,0,nan
8,93,Enterprise,2017-10-01,1,10,2017,Sun,1,Autumn,4.305,0,0,0,0,1,1,0,nan
230,93,Enterprise,2017-10-02,2,10,2017,Mon,0,Autumn,3.73208,3,0,0,0,1,10,0,nan
250,93,Enterprise,2017-10-03,3,10,2017,Tues,0,Autumn,3.75168,0,0,0,0,1,10,0,nan
250,93,Enterprise,2017-10-04,4,10,2017,Wed,0,Autumn,3.7514,0,0,0,0,1,10,0,nan
250,93,Enterprise,2017-10-05,5,10,2017,Thurs,0,Autumn,3.69116,0,0,0,0,1,10,0,nan
242,93,Enterprise,2017-10-06,6,10,2017,Fri,0,Autumn,3.844008,0,0,0,0,1,10,0,nan
20,93,Enterprise,2017-10-07,7,10,2017,Sat,1,Autumn,3.946,0,0,0,0,1,4,0,nan
8,93,Enterprise,2017-10-08,8,10,2017,Sun,1,Autumn,4.25125,0,0,0,0,1,1,0,nan
230,93,Enterprise,2017-10-09,9,10,2017,Mon,0,Autumn,3.962044,0,0,0,0,1,10,0,nan
250,93,Enterprise,2017-10-10,10,10,2017,Tues,0,Autumn,3.94404,0,0,0,0,1,10,0,nan
250,93,Enterprise,2017-10-11,11,10,2017,Wed,0,Autumn,3.934177,1,0,0,0,1,10,0,nan
