volume_tests,company_id,company_type,time,date,month,year,day,is_weekend,season,avg_pesq_score,quality_too_poor,number_busy,temporarily_unable_test,outage_hrs,number_test_types,numbers_tested,followup_tests,min_commit
1792,17,Enterprise,2018-01-01,1,1,2018,Mon,0,Winter,3.98918,3,0,0,0,1,37,0,nan
1814,17,Enterprise,2018-01-02,2,1,2018,Tues,0,Winter,3.932962,0,7,0,0.15,1,37,0,nan
1792,17,Enterprise,2018-01-03,3,1,2018,Wed,0,Winter,3.923866,4,3,0,1.57,1,37,0,nan
1873,17,Enterprise,2018-01-04,4,1,2018,Thurs,0,Winter,3.855155,2,4,0,0,1,37,0,nan
1778,17,Enterprise,2018-01-05,5,1,2018,Fri,0,Winter,3.858371,1,1,0,0.5,1,37,0,nan
1788,17,Enterprise,2018-01-06,6,1,2018,Sat,1,Winter,3.937011,0,19,0,0,1,37,0,nan
1780,17,Enterprise,2018-01-07,7,1,2018,Sun,1,Winter,3.943566,1,0,1,0,1,37,0,nan
1794,17,Enterprise,2018-01-08,8,1,2018,Mon,0,Winter,3.873692,1,4,2,0,1,37,0,nan
1789,17,Enterprise,2018-01-09,9,1,2018,Tues,0,Winter,3.870278,1,12,0,0,1,37,0,nan
1768,17,Enterprise,2018-01-10,10,1,2018,Wed,0,Winter,3.879666,1,0,0,0,1,37,0,nan
1782,17,Enterprise,2018-01-11,11,1,2018,Thurs,0,Winter,3.87359,1,1,0,0.12,1,37,0,nan
1777,17,Enterprise,2018-01-12,12,1,2018,Fri,0,Winter,3.889859,0,0,0,0,1,37,0,nan
1782,17,Enterprise,2018-01-13,13,1,2018,Sat,1,Winter,3.956691,0,0,0,0,1,37,0,nan
1786,17,Enterprise,2018-01-14,14,1,2018,Sun,1,Winter,3.957929,0,4,0,0,1,37,0,nan
1784,17,Enterprise,2018-01-15,15,1,2018,Mon,0,Winter,3.915704,0,0,0,0,1,37,0,nan
1802,17,Enterprise,2018-01-16,16,1,2018,Tues,0,Winter,3.912234,0,8,5,0,1,37,0,nan
1771,17,Enterprise,2018-01-17,17,1,2018,Wed,0,Winter,3.914038,0,0,0,0,1,37,0,nan
1788,17,Enterprise,2018-01-18,18,1,2018,Thurs,0,Winter,3.926327,0,1,0,0.35,1,37,0,nan
1790,17,Enterprise,2018-01-19,19,1,2018,Fri,0,Winter,3.936067,0,0,4,0,1,37,0,nan
1782,17,Enterprise,2018-01-20,20,1,2018,Sat,1,Winter,3.963911,0,0,0,0,1,37,0,nan
1747,17,Enterprise,2018-01-21,21,1,2018,Sun,1,Winter,3.985836,1,1,3,1.27,1,37,0,nan
1784,17,Enterprise,2018-01-22,22,1,2018,Mon,0,Winter,3.939141,0,6,0,0,1,37,0,nan
1793,17,Enterprise,2018-01-23,23,1,2018,Tues,0,Winter,3.918313,0,2,0,0,1,37,0,nan
1805,17,Enterprise,2018-01-24,24,1,2018,Wed,0,Winter,3.916634,2,9,5,0.43,1,37,0,nan
1742,17,Enterprise,2018-01-25,25,1,2018,Thurs,0,Winter,3.942088,0,0,3,0,1,36,0,nan
1738,17,Enterprise,2018-01-26,26,1,2018,Fri,0,Winter,3.929885,1,0,0,0,1,36,0,nan
1742,17,Enterprise,2018-01-27,27,1,2018,Sat,1,Winter,3.905864,0,6,0,0.45,1,36,0,nan
1742,17,Enterprise,2018-01-28,28,1,2018,Sun,1,Winter,3.918485,1,5,0,0.32,1,36,0,nan
1728,17,Enterprise,2018-01-29,29,1,2018,Mon,0,Winter,3.866701,0,0,0,0,1,36,0,nan
1698,17,Enterprise,2018-01-30,30,1,2018,Tues,0,Winter,3.92865,2,3,0,0.88,1,36,0,nan
1785,17,Enterprise,2018-01-31,31,1,2018,Wed,0,Winter,3.939506,0,1,0,0,1,40,0,nan
1983,17,Enterprise,2018-02-01,1,2,2018,Thurs,0,Spring,3.909095,1,37,6,3.03,1,40,0,nan
1921,17,Enterprise,2018-02-02,2,2,2018,Fri,0,Spring,3.922857,0,0,0,0,1,40,0,nan
1888,17,Enterprise,2018-02-03,3,2,2018,Sat,1,Spring,3.956849,0,0,12,0,1,39,0,nan
1871,17,Enterprise,2018-02-04,4,2,2018,Sun,1,Spring,3.974706,0,0,18,0,1,39,0,nan
1883,17,Enterprise,2018-02-05,5,2,2018,Mon,0,Spring,3.929186,0,0,28,0,1,39,0,nan
1880,17,Enterprise,2018-02-06,6,2,2018,Tues,0,Spring,3.922061,0,0,23,0,1,39,0,nan
1907,17,Enterprise,2018-02-07,7,2,2018,Wed,0,Spring,3.908973,2,1,36,0.2,1,39,0,nan
1900,17,Enterprise,2018-02-08,8,2,2018,Thurs,0,Spring,3.903287,0,6,4,0.22,1,39,0,nan
1880,17,Enterprise,2018-02-09,9,2,2018,Fri,0,Spring,3.906948,0,0,0,0,1,39,0,nan
1888,17,Enterprise,2018-02-10,10,2,2018,Sat,1,Spring,3.942142,0,22,13,0,1,39,0,nan
1830,17,Enterprise,2018-02-11,11,2,2018,Sun,1,Spring,3.961037,0,6,27,0,1,38,0,nan
1854,17,Enterprise,2018-02-12,12,2,2018,Mon,0,Spring,3.91612,0,28,16,1.78,1,38,0,nan
1842,17,Enterprise,2018-02-13,13,2,2018,Tues,0,Spring,3.903776,0,24,0,1.35,1,38,0,nan
1810,17,Enterprise,2018-02-14,14,2,2018,Wed,0,Spring,3.917871,0,29,0,0.88,1,37,0,nan
1836,17,Enterprise,2018-02-15,15,2,2018,Thurs,0,Spring,3.905237,0,5,0,0,1,37,0,nan
