volume_tests,company_id,company_type,time,date,month,year,day,is_weekend,season,avg_pesq_score,quality_too_poor,number_busy,temporarily_unable_test,outage_hrs,number_test_types,numbers_tested,followup_tests,min_commit
82,49,Enterprise,2018-01-01,1,1,2018,Mon,0,Winter,0,0,0,0,24,1,10,0,nan
82,49,Enterprise,2018-01-02,2,1,2018,Tues,0,Winter,0,0,0,0,24,1,10,0,nan
86,49,Enterprise,2018-01-03,3,1,2018,Wed,0,Winter,0,0,0,0,24,1,10,0,nan
82,49,Enterprise,2018-01-04,4,1,2018,Thurs,0,Winter,0,0,0,0,24,1,10,0,nan
82,49,Enterprise,2018-01-05,5,1,2018,Fri,0,Winter,0,0,0,0,24,1,10,0,nan
82,49,Enterprise,2018-01-06,6,1,2018,Sat,1,Winter,0,0,0,0,24,1,10,0,nan
82,49,Enterprise,2018-01-07,7,1,2018,Sun,1,Winter,0,0,0,0,24,1,10,0,nan
82,49,Enterprise,2018-01-08,8,1,2018,Mon,0,Winter,0,0,0,0,24,1,10,0,nan
129,49,Enterprise,2018-01-09,9,1,2018,Tues,0,Winter,0,0,2,0,40.78,1,57,0,nan
83,49,Enterprise,2018-01-10,10,1,2018,Wed,0,Winter,0,0,0,0,72,1,11,0,nan
83,49,Enterprise,2018-01-11,11,1,2018,Thurs,0,Winter,0,0,0,0,72,1,11,0,nan
83,49,Enterprise,2018-01-12,12,1,2018,Fri,0,Winter,0,0,0,0,72,1,11,0,nan
83,49,Enterprise,2018-01-13,13,1,2018,Sat,1,Winter,0,0,0,0,72,1,11,0,nan
83,49,Enterprise,2018-01-14,14,1,2018,Sun,1,Winter,0,0,0,0,72,1,11,0,nan
83,49,Enterprise,2018-01-15,15,1,2018,Mon,0,Winter,0,0,0,0,72,1,11,0,nan
91,49,Enterprise,2018-01-16,16,1,2018,Tues,0,Winter,0,0,0,0,72,1,19,0,nan
82,49,Enterprise,2018-01-17,17,1,2018,Wed,0,Winter,0,0,0,0,72,1,11,0,nan
83,49,Enterprise,2018-01-18,18,1,2018,Thurs,0,Winter,0,0,0,0,72,1,11,0,nan
83,49,Enterprise,2018-01-19,19,1,2018,Fri,0,Winter,0,0,0,0,72,1,11,0,nan
83,49,Enterprise,2018-01-20,20,1,2018,Sat,1,Winter,0,0,0,0,72,1,11,0,nan
83,49,Enterprise,2018-01-21,21,1,2018,Sun,1,Winter,0,0,0,0,72,1,11,0,nan
83,49,Enterprise,2018-01-22,22,1,2018,Mon,0,Winter,0,0,0,0,72,1,11,0,nan
83,49,Enterprise,2018-01-23,23,1,2018,Tues,0,Winter,0,0,0,0,72,1,11,0,nan
83,49,Enterprise,2018-01-24,24,1,2018,Wed,0,Winter,0,0,1,0,85.82,1,11,0,nan
83,49,Enterprise,2018-01-25,25,1,2018,Thurs,0,Winter,0,0,0,0,82.08,1,11,0,nan
83,49,Enterprise,2018-01-26,26,1,2018,Fri,0,Winter,0,0,0,0,72,1,11,0,nan
83,49,Enterprise,2018-01-27,27,1,2018,Sat,1,Winter,0,0,0,0,72,1,11,0,nan
83,49,Enterprise,2018-01-28,28,1,2018,Sun,1,Winter,0,0,0,0,72,1,11,0,nan
83,49,Enterprise,2018-01-29,29,1,2018,Mon,0,Winter,0,0,0,0,72,1,11,0,nan
