volume_tests,company_id,company_type,time,date,month,year,day,is_weekend,season,avg_pesq_score,quality_too_poor,number_busy,temporarily_unable_test,outage_hrs,number_test_types,numbers_tested,followup_tests,min_commit
167,6,Conference,2018-01-01,1,1,2018,Mon,0,Winter,3.9715645,0,0,0,0,2,62,0,5715
165,6,Conference,2018-01-02,2,1,2018,Tues,0,Winter,3.915445,0,0,0,0,2,61,0,5715
169,6,Conference,2018-01-03,3,1,2018,Wed,0,Winter,3.9759665,0,0,0,0,2,61,0,5715
165,6,Conference,2018-01-04,4,1,2018,Thurs,0,Winter,3.7083435,0,0,0,0,2,61,0,5715
176,6,Conference,2018-01-05,5,1,2018,Fri,0,Winter,3.7331435,2,0,0,0,2,63,0,5715
137,6,Conference,2018-01-06,6,1,2018,Sat,1,Winter,3.959453,0,0,0,0,2,62,0,5715
147,6,Conference,2018-01-07,7,1,2018,Sun,1,Winter,3.668368,0,0,0,0,2,62,0,5715
167,6,Conference,2018-01-08,8,1,2018,Mon,0,Winter,3.8615205,2,0,14,0,2,61,0,5715
170,6,Conference,2018-01-09,9,1,2018,Tues,0,Winter,3.881807,0,0,1,0,2,62,0,5715
172,6,Conference,2018-01-10,10,1,2018,Wed,0,Winter,3.780975,1,1,5,0.09,3,64,1,5715
174,6,Conference,2018-01-11,11,1,2018,Thurs,0,Winter,3.8840115,0,0,0,0,2,64,0,5715
212,6,Conference,2018-01-12,12,1,2018,Fri,0,Winter,3.9520785,0,4,0,0,2,80,0,5715
184,6,Conference,2018-01-13,13,1,2018,Sat,1,Winter,3.991378,0,4,0,0,2,79,0,5715
159,6,Conference,2018-01-14,14,1,2018,Sun,1,Winter,3.98802,1,1,0,0.09,3,64,5,5715
177,6,Conference,2018-01-15,15,1,2018,Mon,0,Winter,3.936353,1,0,0,0,2,63,0,5715
192,6,Conference,2018-01-16,16,1,2018,Tues,0,Winter,3.962826,0,1,0,0,3,80,5,5715
188,6,Conference,2018-01-17,17,1,2018,Wed,0,Winter,3.9209225,0,4,1,0,2,63,0,5715
203,6,Conference,2018-01-18,18,1,2018,Thurs,0,Winter,3.932064,0,15,0,30.21,3,69,10,5715
185,6,Conference,2018-01-19,19,1,2018,Fri,0,Winter,3.9399405,0,6,0,28.12,3,67,5,5715
153,6,Conference,2018-01-20,20,1,2018,Sat,1,Winter,3.9186225,3,0,0,24,2,66,0,5715
154,6,Conference,2018-01-21,21,1,2018,Sun,1,Winter,3.879569,0,0,3,24,2,63,0,5715
247,6,Conference,2018-01-22,22,1,2018,Mon,0,Winter,3.9527365,0,64,0,24,2,63,0,5715
292,6,Conference,2018-01-23,23,1,2018,Tues,0,Winter,3.9677275,2,45,1,124.06,3,101,15,5715
186,6,Conference,2018-01-24,24,1,2018,Wed,0,Winter,3.966997,0,14,0,186.69,3,64,5,5715
177,6,Conference,2018-01-25,25,1,2018,Thurs,0,Winter,3.937259,0,0,0,192,2,63,0,5715
172,6,Conference,2018-01-26,26,1,2018,Fri,0,Winter,3.9293395,0,0,0,192,2,64,0,5715
144,6,Conference,2018-01-27,27,1,2018,Sat,1,Winter,3.972736,0,0,13,192,2,63,0,5715
154,6,Conference,2018-01-28,28,1,2018,Sun,1,Winter,3.9702665,0,0,0,192,2,63,0,5715
173,6,Conference,2018-01-29,29,1,2018,Mon,0,Winter,3.9182785,2,0,0,192,2,63,0,5715
183,6,Conference,2018-01-30,30,1,2018,Tues,0,Winter,3.9136145,0,6,0,204.75,3,65,10,5715
189,6,Conference,2018-01-31,31,1,2018,Wed,0,Winter,3.935299,0,0,0,216,2,79,0,5715
190,6,Conference,2018-02-01,1,2,2018,Thurs,0,Spring,3.9343825,0,12,1,216,2,66,0,5715
197,6,Conference,2018-02-02,2,2,2018,Fri,0,Spring,3.840747,0,0,0,216,2,60,0,5715
134,6,Conference,2018-02-03,3,2,2018,Sat,1,Spring,3.989942,0,0,0,216,2,59,0,5715
144,6,Conference,2018-02-04,4,2,2018,Sun,1,Spring,3.9852535,0,0,2,216,2,59,0,5715
180,6,Conference,2018-02-05,5,2,2018,Mon,0,Spring,3.8675665,0,16,3,216,2,61,0,5715
217,6,Conference,2018-02-06,6,2,2018,Tues,0,Spring,3.807094,0,4,2,216,2,62,0,5715
611,6,Conference,2018-02-07,7,2,2018,Wed,0,Spring,3.8125415,0,0,2,216,3,64,0,5715
1340,6,Conference,2018-02-08,8,2,2018,Thurs,0,Spring,3.8829725,4,18,1,216.01,3,66,20,5715
1119,6,Conference,2018-02-09,9,2,2018,Fri,0,Spring,3.927961,0,2,0,216.01,3,65,10,5715
134,6,Conference,2018-02-10,10,2,2018,Sat,1,Spring,3.955476,2,0,0,216,2,59,0,5715
145,6,Conference,2018-02-11,11,2,2018,Sun,1,Spring,4.013597,2,0,0,216,2,62,0,5715
397,6,Conference,2018-02-12,12,2,2018,Mon,0,Spring,3.9966545,3,0,0,216,3,62,0,5715
1291,6,Conference,2018-02-13,13,2,2018,Tues,0,Spring,3.886823,5,2,2,216,3,63,10,5715
288,6,Conference,2018-02-14,14,2,2018,Wed,0,Spring,3.9444845,1,11,0,241.12,3,64,9,5715
243,6,Conference,2018-02-15,15,2,2018,Thurs,0,Spring,3.890586,0,0,0,242.52,2,61,0,5715
154,6,Conference,2018-02-16,16,2,2018,Fri,0,Spring,3.946689,2,0,0,240,2,60,0,5715
132,6,Conference,2018-02-17,17,2,2018,Sat,1,Spring,3.960504,0,0,0,240,2,59,0,5715
131,6,Conference,2018-02-18,18,2,2018,Sun,1,Spring,3.9981695,0,0,0,240,2,58,0,5715
172,6,Conference,2018-02-19,19,2,2018,Mon,0,Spring,3.9369065,0,4,2,240,2,61,0,5715
222,6,Conference,2018-02-20,20,2,2018,Tues,0,Spring,3.895199,0,14,0,269.29,3,67,5,5715
249,6,Conference,2018-02-21,21,2,2018,Wed,0,Spring,3.902373,0,32,2,288,3,62,10,5715
194,6,Conference,2018-02-22,22,2,2018,Thurs,0,Spring,3.8978715,0,4,1,273.08,2,62,0,5715
255,6,Conference,2018-02-23,23,2,2018,Fri,0,Spring,3.8754975,1,8,0,264,2,62,0,5715
136,6,Conference,2018-02-24,24,2,2018,Sat,1,Spring,3.904403,0,0,0,264,2,61,0,5715
146,6,Conference,2018-02-25,25,2,2018,Sun,1,Spring,3.9353125,0,0,0,264,2,62,0,5715
343,6,Conference,2018-02-26,26,2,2018,Mon,0,Spring,3.9014355,0,72,0,264,2,62,0,5715
180,6,Conference,2018-02-27,27,2,2018,Tues,0,Spring,3.846335,1,0,0,264,2,61,0,5715
190,6,Conference,2018-02-28,28,2,2018,Wed,0,Spring,3.915419,0,0,1,264,2,61,0,5715
322,6,Conference,2018-03-01,1,3,2018,Thurs,0,Spring,3.834425,0,52,1,264,2,61,0,5715
188,6,Conference,2018-03-02,2,3,2018,Fri,0,Spring,3.9002615,1,12,0,305.68,3,63,10,5715
134,6,Conference,2018-03-03,3,3,2018,Sat,1,Spring,3.93271,0,0,0,312,2,59,0,5715
146,6,Conference,2018-03-04,4,3,2018,Sun,1,Spring,3.934149,0,0,2,312,2,62,0,5715
205,6,Conference,2018-03-05,5,3,2018,Mon,0,Spring,3.937743,0,4,0,312,2,61,0,5715
206,6,Conference,2018-03-06,6,3,2018,Tues,0,Spring,3.9557715,0,0,0,312,2,61,0,5715
322,6,Conference,2018-03-07,7,3,2018,Wed,0,Spring,3.842548,0,3,0,312,3,64,5,5715
313,6,Conference,2018-03-08,8,3,2018,Thurs,0,Spring,3.9269155,0,6,0,328.47,4,65,5,5715
305,6,Conference,2018-03-09,9,3,2018,Fri,0,Spring,3.9333105,0,0,0,360,3,65,0,5715
134,6,Conference,2018-03-10,10,3,2018,Sat,1,Spring,3.914769,0,0,0,360,2,59,0,5715
146,6,Conference,2018-03-11,11,3,2018,Sun,1,Spring,3.9519245,0,0,0,360,2,62,0,5715
227,6,Conference,2018-03-12,12,3,2018,Mon,0,Spring,3.9107385,0,24,1,360,2,63,0,5715
265,6,Conference,2018-03-13,13,3,2018,Tues,0,Spring,3.988481,0,17,0,360.34,3,63,5,5715
295,6,Conference,2018-03-14,14,3,2018,Wed,0,Spring,3.952311,0,12,0,360,2,64,0,5715
263,6,Conference,2018-03-15,15,3,2018,Thurs,0,Spring,3.9688325,2,0,0,360,2,64,0,5715
271,6,Conference,2018-03-16,16,3,2018,Fri,0,Spring,3.9685685,0,4,0,360,2,64,0,5715
134,6,Conference,2018-03-17,17,3,2018,Sat,1,Spring,3.9839775,0,0,0,360,2,59,0,5715
146,6,Conference,2018-03-18,18,3,2018,Sun,1,Spring,3.981844,0,0,3,360,2,62,0,5715
209,6,Conference,2018-03-19,19,3,2018,Mon,0,Spring,3.7753915,0,8,0,360,2,60,0,5715
246,6,Conference,2018-03-20,20,3,2018,Tues,0,Spring,3.9780675,0,16,0,360,2,62,0,5715
239,6,Conference,2018-03-21,21,3,2018,Wed,0,Spring,3.960124,0,20,2,360,2,62,0,5715
299,6,Conference,2018-03-22,22,3,2018,Thurs,0,Spring,3.96006,0,28,0,360,2,62,0,5715
211,6,Conference,2018-03-23,23,3,2018,Fri,0,Spring,3.920825,0,4,0,360,2,62,0,5715
134,6,Conference,2018-03-24,24,3,2018,Sat,1,Spring,3.954432,0,0,0,360,2,59,0,5715
146,6,Conference,2018-03-25,25,3,2018,Sun,1,Spring,3.9768055,0,0,0,360,2,62,0,5715
189,6,Conference,2018-03-26,26,3,2018,Mon,0,Spring,3.9271515,0,4,0,360,2,60,0,5715
182,6,Conference,2018-03-27,27,3,2018,Tues,0,Spring,3.9403315,0,6,0,375.7,3,61,5,5715
