volume_tests,company_id,company_type,time,date,month,year,day,is_weekend,season,avg_pesq_score,quality_too_poor,number_busy,temporarily_unable_test,outage_hrs,number_test_types,numbers_tested,followup_tests,min_commit
4590,1,Conference,2018-01-01,1,1,2018,Mon,0,Winter,4.183942,1,86,0,1396.48,2,2562,0,100000
3343,1,Conference,2018-01-02,2,1,2018,Tues,0,Winter,4.160861,2,24,0,1695.18,2,1142,0,100000
2939,1,Conference,2018-01-03,3,1,2018,Wed,0,Winter,4.12968,0,43,0,1794.67,2,624,0,100000
3001,1,Conference,2018-01-04,4,1,2018,Thurs,0,Winter,4.062926,1,19,0,1668.05,2,572,0,100000
3010,1,Conference,2018-01-05,5,1,2018,Fri,0,Winter,3.8751165,1,1,0,1666.8,2,497,0,100000
1020,1,Conference,2018-01-06,6,1,2018,Sat,1,Winter,3.697859,0,0,0,1662,2,210,0,100000
1178,1,Conference,2018-01-07,7,1,2018,Sun,1,Winter,3.783932,0,9,0,1777.4,2,450,0,100000
3035,1,Conference,2018-01-08,8,1,2018,Mon,0,Winter,3.848831,0,8,89,1860.67,2,778,0,100000
4284,1,Conference,2018-01-09,9,1,2018,Tues,0,Winter,3.9964215,65,60,2,2390.52,2,1749,0,100000
3712,1,Conference,2018-01-10,10,1,2018,Wed,0,Winter,4.0367055,1,43,0,2401.85,2,1105,0,100000
3307,1,Conference,2018-01-11,11,1,2018,Thurs,0,Winter,3.8149165,0,42,0,2545.86,3,550,0,100000
3710,1,Conference,2018-01-12,12,1,2018,Fri,0,Winter,3.891011,1,149,0,2476.19,3,981,0,100000
1000,1,Conference,2018-01-13,13,1,2018,Sat,1,Winter,3.814826,0,0,0,2639.97,2,209,0,100000
790,1,Conference,2018-01-14,14,1,2018,Sun,1,Winter,4.0289585,0,2,0,2639.97,2,152,0,100000
3086,1,Conference,2018-01-15,15,1,2018,Mon,0,Winter,3.91153875,2,4,0,2653.66,3,555,0,100000
3460,1,Conference,2018-01-16,16,1,2018,Tues,0,Winter,3.90477775,0,27,0,2649.04,3,557,0,100000
3355,1,Conference,2018-01-17,17,1,2018,Wed,0,Winter,3.87767,0,10,0,2670.1,3,556,0,100000
3647,1,Conference,2018-01-18,18,1,2018,Thurs,0,Winter,3.84417675,35,37,0,2686.75,3,803,0,100000
2356,1,Conference,2018-01-19,19,1,2018,Fri,0,Winter,3.78161,0,29,0,2674.3,2,319,0,100000
570,1,Conference,2018-01-20,20,1,2018,Sat,1,Winter,3.831556,0,10,0,2672.41,2,159,0,100000
239,1,Conference,2018-01-21,21,1,2018,Sun,1,Winter,4.0051725,0,4,0,2714.71,2,64,0,100000
1862,1,Conference,2018-01-22,22,1,2018,Mon,0,Winter,3.827673,0,22,3,2818.65,2,791,0,100000
1790,1,Conference,2018-01-23,23,1,2018,Tues,0,Winter,3.8152645,1,8,4,2937.53,2,426,0,100000
1680,1,Conference,2018-01-24,24,1,2018,Wed,0,Winter,3.8087775,4,27,1,2962.01,2,287,0,100000
2671,1,Conference,2018-01-25,25,1,2018,Thurs,0,Winter,3.68411675,1,38,0,3367.38,3,887,0,100000
3466,1,Conference,2018-01-26,26,1,2018,Fri,0,Winter,3.7722335,1,70,0,3723.2,2,1941,0,100000
1114,1,Conference,2018-01-27,27,1,2018,Sat,1,Winter,4.071328,0,13,0,3988.23,2,707,0,100000
204,1,Conference,2018-01-28,28,1,2018,Sun,1,Winter,4.0119295,0,18,0,4079.95,2,42,0,100000
1630,1,Conference,2018-01-29,29,1,2018,Mon,0,Winter,4.00426775,0,38,0,4076.91,3,287,0,100000
1877,1,Conference,2018-01-30,30,1,2018,Tues,0,Winter,4.067293,2,80,0,4128.34,3,288,0,100000
3768,1,Conference,2018-01-31,31,1,2018,Wed,0,Winter,4.018379,1,51,0,3981.65,3,2242,0,100000
3565,1,Conference,2018-02-01,1,2,2018,Thurs,0,Spring,3.813953,2,45,0,3752.97,3,1888,0,100000
1695,1,Conference,2018-02-02,2,2,2018,Fri,0,Spring,4.05539675,3,19,0,3819.99,3,288,0,100000
804,1,Conference,2018-02-03,3,2,2018,Sat,1,Spring,3.99795825,3,7,0,3871.53,3,255,0,100000
